gen,avg,var,1,2,3,4,5,6,7,8,9,10
0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
5000,12.0,148.6,36,0,0,15,3,4,11,17,3,31
10000,24.1,144.89000000000001,38,15,12,23,41,13,40,6,30,23
15000,22.9,725.2900000000001,0,0,75,1,29,8,0,25,70,21
20000,45.1,1062.69,45,84,6,1,67,38,43,71,95,1
25000,409.6,178288.64000000004,206,182,61,158,197,594,441,1572,522,163
