gen,avg,var,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
30000,76.5,5100.65,60,65,83,0,80,71,35,116,100,31,122,0,187,15,35,34,0,76,5,261,0,122,34,118,231,11,105,56,130,159,49,22,50,196,0,46,221,53,70,73,306,37,62,2,8,74,62,1,109,42
30500,25.26,2279.1524,7,7,22,80,17,8,3,0,3,73,17,2,0,6,8,0,19,68,37,14,289,9,0,0,114,0,26,6,42,0,2,77,27,0,0,0,0,80,13,4,16,107,0,0,3,2,0,46,0,9
31000,20.86,1313.1203999999996,45,86,2,40,24,2,17,27,33,21,172,0,16,24,0,2,0,6,0,41,5,0,3,3,7,0,25,3,0,7,0,10,0,5,156,0,2,6,93,4,13,70,2,9,0,44,5,3,3,7
31500,14.02,577.6596,0,46,24,0,0,6,0,2,33,4,0,69,32,0,4,0,0,43,2,0,0,6,0,2,30,0,0,0,42,52,4,3,0,0,125,25,2,0,0,11,0,4,21,0,11,0,45,0,53,0
32000,73.5,8526.93,17,33,33,120,0,214,286,367,45,95,3,6,65,25,180,115,63,4,27,45,0,4,56,8,71,0,0,118,65,62,0,255,0,221,124,8,36,15,5,152,1,0,161,3,35,0,328,170,0,34
32500,56.88,5293.105600000001,45,207,71,10,0,151,0,162,24,117,73,12,330,6,0,10,208,89,0,6,0,85,1,23,53,242,8,67,0,4,32,15,17,0,75,4,12,27,123,8,2,7,77,132,68,56,7,16,135,27
33000,169.16,31803.814400000003,419,19,641,42,120,39,211,303,86,50,223,244,429,220,162,81,116,61,118,466,0,140,47,6,69,45,50,67,0,46,97,102,6,14,10,248,34,178,193,426,471,203,36,635,96,180,3,1,326,679
33500,56.22,5747.4516,0,36,0,123,26,138,30,26,0,0,0,4,72,0,35,38,225,104,287,0,92,34,19,273,48,114,216,0,75,17,25,0,22,272,3,95,89,43,10,71,0,10,30,31,0,6,0,12,12,48
34000,39.34,2693.4644,34,7,0,1,46,2,68,0,141,61,8,0,59,0,10,5,122,9,148,3,27,24,0,68,35,156,0,66,47,0,71,0,26,36,2,0,0,157,149,0,77,0,51,0,10,14,10,3,197,17
34500,6.94,272.3764,0,2,0,4,20,4,0,0,5,0,0,2,0,0,2,19,0,3,94,0,0,2,2,0,4,0,6,15,4,2,2,41,20,0,0,0,4,7,59,4,0,0,20,0,0,0,0,0,0,0
35000,37.86,2385.0804,37,0,229,69,178,117,53,26,3,5,25,84,0,33,4,0,0,2,63,15,11,3,38,22,106,0,105,36,4,46,48,58,3,20,3,128,0,35,3,100,65,2,0,61,4,7,29,13,0,0
35500,130.94,32701.976399999996,0,3,24,2,23,347,11,34,243,179,28,222,268,74,73,69,31,80,105,231,4,35,63,3,537,55,89,136,105,105,17,6,572,4,30,334,29,8,469,159,246,4,139,87,44,232,43,0,0,945
36000,29.42,2261.2835999999998,185,0,50,0,40,2,28,3,54,0,0,0,5,0,24,0,69,0,136,15,0,171,0,50,18,2,3,172,59,0,109,20,0,2,0,0,2,4,0,3,71,48,0,45,48,0,0,33,0,0
