gen,avg,var,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
27500,2700.05,4936575.0475,2055,5735,4862,698,3268,1796,1169,787,1142,2092,184,3907,5308,273,2277,932,2378,1825,9351,3962
28000,91.9,6944.889999999999,121,171,3,59,126,27,283,99,241,231,61,150,3,35,15,11,55,103,29,15
28500,491.3,175967.41000000003,601,64,759,146,279,27,1097,273,353,1364,498,184,331,27,994,1261,208,954,68,338
29000,406.9,113197.38999999997,425,145,650,20,160,109,851,86,1125,63,143,1081,57,812,507,512,170,418,317,487
29500,88.7,7118.210000000002,21,52,51,86,48,86,26,289,40,36,7,93,53,290,65,33,45,188,223,42
30000,337.85,47275.8275,324,436,557,181,194,276,139,15,676,203,109,823,420,220,738,291,102,502,300,251
30500,1980.75,4319962.3875,174,513,1430,2912,888,689,6597,7947,641,1524,1108,2518,4692,1078,2410,706,1523,1987,42,236
31000,2013.95,2840129.1475,1907,686,570,2110,1730,420,623,5312,2458,1378,598,1890,278,3452,1868,690,881,2094,5814,5520
31500,1660.55,2503221.0475,696,3892,2059,3646,1015,50,5189,197,260,185,1127,3166,1292,406,1056,1113,3648,116,3886,212
32000,349.85,142849.1275,470,109,1103,1222,224,1080,90,224,529,11,731,12,347,76,40,128,313,84,140,64
32500,113.4,5927.639999999999,61,23,74,83,117,19,151,189,149,138,232,330,163,14,70,83,61,106,39,166
33000,2185.25,4129494.5875,1467,2912,3800,1519,2152,156,2798,2656,138,662,4503,681,5549,111,231,3629,7941,1119,1179,502
33500,707.6,358393.13999999996,279,804,112,1747,145,799,1469,695,143,706,312,178,292,108,1397,93,246,1897,1334,1396
34000,1615.75,2648188.4875,721,675,644,622,547,1426,582,539,261,1079,2056,3445,343,2114,5208,6335,2483,403,2098,734
34500,1392.55,1907015.4475000002,2380,479,933,186,1160,2047,731,1387,620,697,190,6169,3470,2176,371,686,2011,991,387,780
35000,2222.3,3336432.9099999997,4098,3678,2209,1519,874,483,4115,1140,920,881,4855,1336,384,3201,226,425,220,5426,5948,2508
35500,377.9,92871.29000000001,599,357,415,1024,90,686,48,233,840,284,59,402,9,866,621,19,30,118,407,451
