gen,avg,var,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
6000,10.8,83.68,7,5,12,6,3,50,24,34,33,2,16,9,7,0,5,15,17,12,8,4,3,10,18,7,20,8,5,8,6,19,0,11,22,14,15,6,10,6,10,10,5,11,6,8,5,6,9,6,3,4
6500,4.58,41.8036,6,0,7,14,0,3,2,0,0,0,3,7,0,2,14,0,3,2,6,0,3,10,5,34,18,0,5,0,0,3,0,0,2,0,0,0,9,0,7,0,12,0,3,0,0,13,11,0,13,12
7000,13.2,76.48,13,26,11,32,10,21,11,13,17,6,6,13,11,11,10,6,18,16,3,9,14,42,29,19,26,15,12,0,19,12,29,15,10,12,5,17,8,23,7,11,11,0,2,6,0,15,0,18,2,18
7500,10.94,47.0564,9,27,9,1,15,13,13,9,8,5,11,12,8,24,5,9,6,5,15,17,24,7,12,6,23,0,4,0,16,20,11,15,10,14,13,9,25,19,0,15,7,3,2,11,4,14,5,7,22,8
8000,11.94,114.77640000000002,10,16,17,16,4,12,23,7,9,16,0,2,15,15,11,7,2,7,6,13,0,11,4,7,10,12,3,10,5,6,5,4,3,37,8,21,56,33,3,15,9,5,18,32,3,5,21,8,32,3
8500,14.82,168.5476,13,10,9,20,20,8,7,9,8,36,0,35,8,6,45,15,9,0,15,40,22,14,32,21,3,7,6,8,17,6,5,48,5,2,7,6,16,22,45,9,2,4,48,6,8,21,8,5,17,8
9000,11.24,147.46239999999997,15,0,24,5,21,2,35,25,29,4,10,28,4,6,9,19,24,14,3,6,5,3,4,8,13,14,3,15,9,0,4,24,3,10,5,3,8,0,0,9,2,67,0,0,20,0,4,13,6,27
9500,17.44,279.2464,12,0,3,8,5,21,15,10,0,8,7,29,18,2,41,44,18,25,9,3,18,44,8,18,11,10,26,2,9,31,6,27,18,13,37,14,17,3,7,1,17,14,58,21,11,7,1,26,26,93
10000,10.92,85.15359999999998,13,8,32,25,0,20,6,6,9,33,33,10,28,11,6,6,5,10,16,0,11,0,0,10,5,11,12,2,9,0,22,6,17,14,16,16,2,0,2,9,31,5,1,5,23,8,12,2,5,13
10500,4.46,88.6884,0,0,0,0,11,40,0,0,20,0,0,18,0,0,0,0,0,3,1,3,0,0,0,0,0,0,19,0,0,43,0,0,14,0,0,0,0,0,0,0,0,3,10,5,10,6,17,0,0,0
11000,10.88,68.78559999999999,14,2,17,12,31,15,0,3,6,13,12,15,10,10,4,4,29,6,8,14,7,3,24,20,10,14,27,0,2,0,6,8,6,5,21,1,4,17,2,31,6,3,14,6,6,6,16,15,25,14
11500,65.06,4405.0163999999995,0,281,13,92,128,45,6,73,13,22,27,8,29,45,96,35,296,82,28,102,24,43,8,0,38,3,61,58,94,64,221,65,16,12,28,121,67,128,124,12,84,52,206,22,97,27,36,44,70,7
