gen,avg,var,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
24000,5.34,158.02439999999999,2,1,0,0,0,0,0,16,0,0,3,4,20,0,0,0,0,0,0,0,0,3,0,4,4,0,24,0,0,23,0,0,0,0,0,0,2,11,0,0,0,0,66,0,0,4,0,35,42,3
24500,355.02,118440.85960000001,314,686,301,277,1393,152,137,161,957,507,23,12,617,383,143,34,86,220,384,132,116,937,119,69,83,908,148,42,846,402,875,82,555,15,488,906,466,85,424,94,1238,147,87,411,239,66,46,722,78,138
25000,32.0,3382.6,9,0,14,96,35,67,25,2,36,42,0,29,3,22,0,22,7,42,0,71,0,0,0,21,0,15,0,4,0,8,7,0,22,238,215,20,76,49,32,0,0,0,0,0,28,0,73,0,0,270
25500,33.56,1869.2864,0,34,37,9,19,8,0,11,0,16,9,74,72,0,4,12,3,62,10,5,129,47,3,0,94,116,168,90,94,149,0,0,52,24,27,2,115,11,3,0,11,45,0,0,0,0,14,34,33,32
26000,20.56,2061.4064,102,78,2,0,40,47,11,0,26,0,22,5,0,16,2,11,0,0,50,9,46,10,4,3,0,3,0,2,0,18,0,3,0,0,0,0,9,13,36,46,14,0,35,32,15,2,7,8,301,0
26500,11.72,689.9616000000001,2,0,3,2,3,3,4,157,38,7,8,2,2,3,37,3,9,4,0,0,40,0,91,2,0,0,6,0,0,38,0,18,15,0,0,0,0,33,1,4,8,5,0,0,3,6,3,21,2,3
27000,62.9,3784.49,3,11,38,28,177,129,18,65,28,175,42,10,78,76,31,157,122,178,18,9,162,22,3,88,10,7,65,79,168,105,174,0,0,0,12,44,221,12,66,77,80,0,11,10,135,0,99,33,48,21
27500,0.86,3.2803999999999998,0,0,0,0,3,0,5,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,5,0,0,1,0,8,0,0,0,3,0,0,3,2,0,0,0,0,0,0
28000,129.06,12890.656400000002,55,141,154,281,234,23,130,153,10,0,157,185,23,324,15,80,3,124,137,135,21,63,86,40,22,2,93,312,21,104,328,168,66,65,287,188,137,144,80,172,48,133,60,106,125,580,188,372,26,52
28500,13.22,648.9316,0,55,3,3,0,0,0,0,0,0,0,4,0,0,4,3,3,29,0,54,0,65,0,0,0,36,3,26,22,10,113,0,3,106,0,42,2,0,2,0,0,0,0,0,0,4,37,15,7,10
29000,41.22,3498.8116000000005,0,150,0,33,0,2,10,0,0,0,103,0,0,100,272,2,16,0,24,18,60,65,24,82,51,0,29,0,118,238,21,37,10,23,4,0,146,74,64,66,29,4,6,89,10,0,68,2,3,8
29500,212.06,40410.05640000001,10,346,539,166,204,179,97,19,220,601,106,238,105,424,149,3,105,159,138,113,334,435,780,42,131,82,235,70,102,908,77,210,237,232,634,79,83,485,176,142,59,317,44,11,248,329,4,40,142,14
