gen,avg,var,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
18000,3.44,8.7264,0,0,3,5,8,0,2,15,3,4,3,4,7,2,2,6,4,1,0,0,2,1,5,7,11,6,3,1,1,4,4,2,3,3,1,3,3,2,2,8,1,1,0,1,4,4,4,5,3,8
18500,1155.7,1175734.7300000002,25,3345,2374,1327,2272,492,5212,746,559,387,2467,594,1697,284,131,513,554,79,2861,524,3247,370,545,3174,1983,1028,1028,1147,262,684,1324,800,2030,324,1873,2261,715,281,1952,1851,40,615,473,288,439,991,296,282,96,943
19000,1.36,2.7104000000000004,0,4,0,1,0,1,0,0,3,0,3,7,0,4,1,0,1,0,2,0,3,2,4,2,2,0,1,1,1,1,0,2,0,0,2,2,0,1,1,0,0,2,4,0,0,1,0,3,6,0
19500,407.14,119686.0404,564,275,70,70,1015,566,1257,347,757,128,78,140,269,1115,179,289,430,20,214,104,458,134,489,49,701,227,193,340,347,476,100,592,418,56,247,1132,341,14,343,785,1310,108,135,648,13,990,445,262,205,912
20000,650.44,412523.2064,233,706,362,2168,391,154,765,1193,376,1431,812,119,212,579,1610,1004,92,547,1415,1054,989,1132,222,232,305,439,219,2711,1097,130,506,23,381,170,242,54,378,124,207,172,82,187,1186,544,308,2853,227,252,1025,902
20500,2915.76,10429686.8624,1307,4567,949,13634,7056,1796,1715,1796,3539,1323,1117,1622,1684,2118,1497,1365,2341,792,1868,5427,556,678,3102,10294,388,225,4998,4424,1513,1636,2856,6437,370,3405,5315,115,239,15843,3221,1625,1180,968,7165,1941,242,442,2664,17,4675,1741
21000,653.9,385627.97,783,911,564,44,1941,492,64,372,147,891,235,2459,1639,1288,107,541,195,696,658,69,1110,455,244,2270,364,364,485,282,93,29,178,804,961,1740,73,33,434,41,478,35,104,2174,985,301,1110,579,394,417,805,1257
21500,26.86,1185.2404,3,46,0,0,4,82,22,8,33,167,12,22,21,13,17,2,0,3,4,2,4,101,21,7,24,15,38,20,0,2,9,29,23,23,9,45,3,75,100,17,73,0,89,23,2,5,8,7,23,87
22000,444.42,205522.52360000004,486,373,1078,284,35,332,239,205,878,309,35,230,450,166,484,144,38,530,127,970,660,30,485,6,1379,185,150,2501,136,1013,281,788,186,124,429,32,43,234,349,1075,680,327,912,51,69,191,635,1174,405,298
22500,485.54,212088.72840000002,691,790,1078,248,661,401,141,391,25,110,312,150,282,781,126,130,124,281,837,617,373,1483,721,799,322,11,250,1054,8,1337,318,169,224,701,515,2271,75,35,106,1051,797,61,1369,551,11,134,133,512,109,601
23000,227.68,50607.137599999995,251,149,347,204,246,59,361,161,110,244,169,454,24,102,246,45,534,671,7,262,5,47,58,175,916,149,259,842,100,35,201,998,382,3,130,85,2,97,129,458,127,268,195,41,194,232,144,285,147,34
23500,1272.9,1215015.81,5250,301,1293,2372,290,164,363,1040,1518,305,3289,175,1784,1962,356,729,1351,2471,2925,2895,291,1184,789,862,50,2375,3146,907,394,1934,143,139,1715,413,2007,74,2855,1138,546,994,891,646,1683,452,1559,1347,447,169,3102,560
