gen,avg,var,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000,0.58,1.6436,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,5,1,3,5,0,1,0,0,0,0
1500,3.44,9.2864,3,2,4,3,2,5,5,1,2,4,2,9,3,0,3,2,2,3,9,2,2,4,5,1,3,2,0,6,0,3,4,5,3,0,0,4,3,0,0,5,8,0,1,3,4,4,5,3,15,13
2000,2.62,12.3956,1,0,4,0,0,4,0,3,0,0,1,9,4,6,4,6,3,0,0,3,0,15,0,0,0,0,4,4,0,2,7,2,1,2,2,0,15,0,6,1,3,0,0,3,1,0,0,7,8,0
2500,6.86,34.720400000000005,0,10,4,16,4,3,5,5,4,12,3,3,8,20,2,0,5,14,6,13,0,12,0,12,2,15,8,20,4,5,4,0,3,15,3,10,7,6,0,0,3,15,13,7,3,8,0,7,23,1
3000,6.58,42.883599999999994,2,21,0,2,3,21,0,2,21,11,4,2,3,11,2,18,7,3,10,8,2,6,3,20,0,3,12,11,3,1,4,13,0,0,0,3,1,18,2,6,8,3,7,3,18,1,6,6,0,18
3500,5.18,15.7076,3,12,1,8,15,4,3,1,8,7,1,7,2,10,4,6,8,2,8,1,3,11,9,1,7,8,9,1,5,2,3,3,8,2,2,4,2,14,4,3,5,4,0,2,17,4,0,8,4,3
4000,6.5,21.05,12,14,0,11,7,9,14,5,12,1,0,4,3,5,8,3,3,2,0,5,5,6,7,3,9,7,4,0,6,3,5,16,10,5,7,6,2,22,3,5,4,8,11,12,14,1,6,9,4,7
4500,5.8,33.8,2,4,0,13,15,9,0,0,4,8,14,0,0,9,0,7,0,4,0,1,17,0,0,13,0,8,5,0,9,15,0,11,3,2,0,13,6,7,18,0,7,3,0,0,11,0,14,15,8,15
5000,3.38,59.6356,0,29,0,0,0,0,2,7,0,0,0,8,0,0,0,0,1,0,2,0,4,0,0,0,0,0,0,12,0,0,2,24,5,6,3,39,0,0,0,0,3,4,0,0,15,0,0,0,0,3
5500,8.88,40.3056,1,7,18,16,1,7,19,5,9,7,10,13,4,23,4,17,3,7,5,8,4,6,4,1,19,8,14,8,21,4,13,9,4,8,10,12,18,7,10,10,30,2,3,8,1,9,3,3,6,5
