gen,avg,var,1,2,3,4,5,6,7,8,9,10
0,15.3,49.010000000000005,4,22,25,24,6,12,12,11,18,19
5000,0.9,2.0900000000000003,3,0,0,0,0,2,0,0,4,0
10000,21.1,196.69,32,12,18,22,10,31,2,52,7,25
15000,500.3,187982.41,98,357,324,226,1485,725,191,1000,30,567
20000,40.0,1523.4,6,15,18,44,74,10,44,1,52,136
25000,1505.4,1462490.04,22,2450,601,1003,646,145,2426,1184,3819,2758
