gen,avg,var,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
18000,10.76,71.50240000000001,16,10,8,9,42,16,18,11,7,16,15,7,7,7,3,22,3,2,3,7,14,8,5,6,3,1,9,46,11,9,18,16,15,11,13,10,6,8,5,17,3,6,4,8,15,7,13,4,3,15
18500,24.3,1908.33,6,0,2,0,30,22,6,0,29,0,7,3,79,10,0,111,0,12,0,17,0,28,66,3,0,81,7,0,39,0,55,8,7,7,5,2,14,84,16,35,232,0,0,153,0,31,0,8,0,0
19000,7.54,22.128400000000003,12,3,3,10,7,4,14,8,5,11,10,6,7,10,3,12,10,4,20,8,8,8,3,13,2,2,14,5,1,3,7,7,0,0,9,3,3,9,5,7,4,10,4,11,15,14,21,7,11,4
19500,84.58,8478.5236,16,273,100,0,0,62,144,5,0,6,113,96,31,3,6,77,48,160,29,24,39,201,3,76,7,297,0,32,6,100,58,23,47,299,280,39,235,12,177,94,42,55,166,66,39,250,297,83,1,12
20000,36.2,2269.36,2,0,69,100,16,79,4,0,20,0,0,23,29,0,2,142,49,0,36,16,3,18,162,30,58,183,40,50,4,155,7,74,0,12,0,0,8,6,91,3,32,5,8,0,60,62,18,128,1,5
20500,122.14,11443.4804,12,160,160,90,87,341,163,153,0,220,391,46,195,28,0,24,64,164,8,222,259,1,303,261,0,142,40,50,190,101,89,0,269,219,196,300,28,38,0,85,78,132,28,10,86,16,0,338,176,144
21000,31.78,2249.2516000000005,3,99,48,50,10,86,9,2,5,89,48,17,55,0,5,3,0,56,36,60,15,0,0,38,0,153,21,0,96,4,270,6,0,9,55,66,13,10,12,11,0,32,0,40,9,9,23,11,4,1
21500,1.0,3.0,7,0,3,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,0,5,0,6,0,2,0,3,2,3,2,0,0,0
22000,2.16,8.894399999999997,0,8,0,0,3,2,2,0,0,0,0,7,6,0,4,0,4,0,0,0,6,0,0,0,7,0,8,0,3,0,3,7,0,0,0,0,0,7,4,0,0,10,2,3,0,1,9,0,2,0
22500,10.94,490.37640000000005,52,8,0,0,7,29,0,6,6,0,22,2,0,8,3,2,4,9,0,0,82,0,2,0,4,0,3,7,6,21,0,3,19,0,3,0,3,5,2,0,2,31,66,3,0,5,114,8,0,0
23000,1.72,21.2416,0,0,0,2,0,18,0,0,3,0,3,0,6,0,4,2,0,0,0,0,4,0,0,0,0,3,0,0,0,2,27,0,0,0,5,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0
23500,134.2,19053.96,663,9,35,35,229,161,0,77,99,15,7,8,99,116,42,118,31,4,14,0,114,128,252,35,51,79,407,92,42,263,12,196,163,115,32,48,78,116,402,169,199,222,47,6,74,421,392,263,268,262
