gen,avg,var,1,2,3,4,5,6,7,8,9,10
990,219.7,8110.609999999999,100,123,79,229,279,292,171,330,331,263
1000,210.7,7387.01,288,354,214,126,187,355,142,180,142,119
1010,195.2,2208.1600000000003,194,298,168,196,188,165,141,177,158,267
1020,182.8,1587.76,241,164,164,131,222,225,212,142,199,128
1030,161.0,5732.6,173,109,248,51,116,324,102,188,120,179
1040,160.4,8448.039999999999,80,363,155,99,118,79,182,51,231,246
1050,157.7,3123.8100000000004,288,145,101,179,132,186,209,113,103,121
1060,321.3,14487.41,294,277,448,308,181,254,255,460,176,560
1070,234.5,17616.45,134,565,321,152,155,268,321,181,137,111
1080,322.7,42265.81,171,800,358,300,162,225,112,332,587,180
1090,224.7,6023.41,252,175,174,406,186,96,266,249,246,197
1100,269.5,22183.65,171,200,293,114,319,198,378,302,90,630
1110,247.6,18763.439999999995,534,235,128,278,142,129,217,452,262,99
1120,252.8,10283.16,182,265,367,210,321,341,103,95,240,404
1130,240.3,15140.810000000001,228,342,158,181,501,135,288,154,349,67
1140,204.0,4225.2,258,167,191,256,128,176,239,136,146,343
1150,344.5,38721.45,879,303,321,230,428,157,188,364,208,367
1160,239.7,5647.410000000001,335,274,292,158,275,191,152,148,206,366
1170,190.0,6150.8,296,134,309,100,135,123,290,226,114,173
1180,206.6,11651.84,73,87,297,254,174,308,179,86,185,423
1190,173.1,3594.29,137,180,150,86,210,62,202,254,225,225
1200,204.9,9767.689999999999,121,204,91,109,175,142,250,197,390,370
1210,155.7,3469.21,124,117,139,268,145,190,86,144,93,251
1220,225.9,51022.69,154,91,160,105,323,165,145,878,111,127
1230,139.8,583.9599999999999,154,120,187,100,147,126,151,122,164,127
1240,235.6,17264.04,142,160,167,559,274,143,91,319,323,178
1250,291.3,8275.21,430,398,287,185,105,333,284,335,246,310
1260,145.5,6937.05,112,94,314,55,106,203,271,107,64,129
1270,299.3,23150.010000000002,130,226,240,307,159,182,268,403,409,669
1280,234.4,14927.840000000002,130,169,150,494,192,410,167,327,138,167
1290,302.2,40633.159999999996,477,111,126,244,249,209,253,409,139,805
1300,240.1,12453.890000000001,203,225,448,110,265,437,240,183,177,113
1310,227.0,8417.8,195,105,359,251,243,378,245,235,67,192
1320,228.1,12923.29,396,159,284,102,130,85,234,305,421,165
1330,230.8,8751.16,176,301,301,176,143,164,153,383,376,135
1340,306.1,18340.489999999998,115,405,199,334,178,468,459,233,496,174
1350,218.6,6078.240000000001,337,321,301,120,231,192,147,131,150,256
1360,296.6,21333.840000000004,256,669,324,323,176,289,199,404,173,153
