0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
300,60,129,79,37,158,158,49,115,329,26,104,193,133,35,16,28,180,54,144,192,19,44,38,32,93,81,169,20,106,17,23,33,43,34,185,32,52,23,71,359,83,159,100,226,28,156,301,26,85,336
310,114,92,53,181,42,71,292,1017,26,313,108,296,143,419,31,83,388,37,139,67,311,48,10,24,23,48,326,73,84,234,68,718,27,39,53,125,60,56,283,13,156,193,30,42,270,21,119,125,395,41
320,58,299,123,67,77,13,41,55,83,64,53,74,9,73,16,109,69,196,106,116,401,152,14,83,53,84,2,27,229,45,288,75,22,97,167,86,40,32,16,176,52,180,136,95,54,63,11,10,126,20
330,41,41,815,198,80,288,173,624,124,426,213,79,373,884,135,1154,179,919,941,566,133,302,590,206,1248,167,301,1302,106,144,1307,144,1321,411,871,547,184,429,528,201,454,178,247,446,156,318,161,294,195,1233
340,8,63,44,13,28,25,71,11,32,119,26,81,31,89,108,23,202,28,9,96,6,24,18,63,21,7,55,60,74,10,17,139,7,25,63,77,1,90,45,33,12,30,25,33,2,54,83,68,71,16
350,833,4372,906,578,1116,1267,618,526,245,4690,1756,1704,940,288,2628,660,273,1284,2346,2218,131,482,1683,125,596,172,617,64,503,287,273,201,93,154,1013,690,544,901,69,1014,92,400,1561,429,4273,658,155,890,175,520
360,257,33,46,20,338,649,341,157,720,14,282,258,807,56,365,354,99,208,272,526,785,35,93,400,132,37,856,252,153,587,130,388,355,43,453,133,41,386,150,84,114,23,301,155,86,110,239,194,84,981
370,71,398,1076,94,374,34,717,592,1223,836,635,447,361,696,2246,672,204,363,27,721,924,796,1529,981,141,161,86,184,118,548,209,997,263,54,395,747,834,568,334,408,204,57,84,597,383,85,237,198,370,133
380,84,30,166,362,171,926,219,78,329,252,61,48,28,519,3,174,208,26,214,283,271,229,201,272,105,29,182,190,226,207,114,186,196,156,15,20,212,178,1,323,212,26,57,240,59,95,450,38,273,20
390,461,418,146,75,217,164,26,318,161,403,588,1195,851,719,495,831,148,133,138,506,137,451,381,1880,906,661,693,262,1900,767,555,689,2014,1761,871,165,316,709,1644,186,511,323,984,675,403,645,1049,205,75,374
400,345,77,59,208,14,70,104,5,83,292,61,176,92,54,9,107,63,173,121,54,45,210,104,18,119,26,29,121,14,84,214,52,36,122,99,116,218,51,113,163,64,94,49,49,191,39,20,165,49,31
410,195,39,93,203,110,156,82,249,45,176,9,47,110,148,47,268,27,6,72,179,106,11,45,114,22,56,127,81,340,162,36,67,56,217,38,127,80,50,338,110,84,99,46,47,256,46,94,73,68,95
420,34,7,127,60,185,46,177,10,299,201,71,173,123,110,288,32,123,251,128,536,234,119,198,123,200,135,28,59,56,390,180,48,12,12,119,78,135,253,287,115,144,343,333,96,58,320,70,39,42,406
430,204,1793,77,55,2179,560,1953,1337,318,1053,78,2362,199,179,52,88,344,156,73,814,870,2827,378,2009,160,523,198,1163,755,163,892,2125,1492,1671,680,157,934,1668,1157,133,847,342,395,383,619,786,1170,344,271,650
440,143,38,12,162,54,49,307,155,266,242,209,20,42,214,142,628,262,325,7,127,379,401,260,155,93,281,137,66,175,21,82,25,779,82,111,60,151,284,341,696,162,152,327,34,59,69,105,355,134,55
450,510,107,153,74,298,883,186,909,766,114,367,68,350,299,205,976,144,44,81,447,549,174,423,15,232,68,133,395,245,48,158,137,305,204,930,360,350,460,1000,95,138,1063,184,452,2043,91,9,98,108,182
460,610,77,41,372,97,1168,187,285,32,327,315,39,51,38,244,148,52,98,27,181,65,30,20,212,298,150,157,20,169,139,49,46,315,409,27,168,122,106,52,100,28,140,326,487,23,197,12,126,76,47
470,120,104,81,20,194,114,69,62,23,91,55,94,13,17,167,141,89,14,173,71,12,68,41,77,196,20,91,423,162,94,94,102,50,199,287,106,79,86,40,271,64,82,73,60,47,12,141,111,45,15
480,95,617,253,342,754,38,222,230,52,962,591,311,231,52,560,48,42,258,365,120,91,480,324,338,576,256,999,132,12,139,333,79,51,76,150,327,187,242,71,226,250,127,357,338,801,588,153,140,115,189
490,161,100,125,562,304,43,74,521,283,402,47,68,398,296,366,94,104,232,497,318,467,381,26,37,148,111,75,51,311,514,58,183,282,406,169,129,270,54,376,6,163,384,402,262,334,19,192,57,124,320
500,317,736,322,10,1348,236,113,282,376,218,457,371,440,1865,367,799,203,313,535,657,271,756,1355,127,519,356,902,139,449,782,1113,180,335,438,290,1316,1174,672,93,21,600,293,195,79,1781,599,140,1620,696,540
510,681,79,379,366,354,115,154,60,200,922,58,361,239,172,867,302,121,700,776,116,53,212,438,27,170,88,136,323,256,737,376,707,636,108,303,605,1063,1034,402,101,395,318,54,83,545,72,1268,61,868,60
520,1427,543,2785,1823,102,3848,144,425,2237,256,1331,203,34,1244,253,241,988,572,509,254,952,817,279,883,530,70,409,241,304,2080,191,601,1655,524,230,611,182,3873,378,547,740,2892,2111,1250,1800,175,373,46,725,793
530,524,490,279,478,250,280,34,1944,952,551,672,206,544,111,996,156,134,180,168,142,78,119,111,138,276,243,134,251,202,386,660,178,328,247,95,561,208,345,221,373,1031,150,123,23,45,486,703,79,16,293
540,695,798,2583,3796,2259,707,126,2665,2911,3163,511,254,949,324,991,324,117,190,3187,318,291,402,822,684,102,516,1274,131,563,3083,1410,2042,1153,1199,402,66,1636,814,1155,1032,2397,1003,1840,108,3128,423,712,171,167,1362
550,933,1610,119,639,1036,91,2411,663,1163,786,196,2808,600,1629,246,406,1448,46,3494,124,2405,1410,336,1430,734,1040,344,879,903,318,307,3675,315,1665,1209,3345,254,1227,223,325,2527,967,1588,25,2341,1053,1045,3559,6472,717
560,206,71,287,20,176,156,243,138,302,212,172,241,563,107,368,474,158,157,87,148,176,85,282,687,65,417,50,52,396,302,264,396,131,71,38,291,374,28,57,84,52,135,62,708,200,108,68,620,88,68
570,199,1397,1222,2761,1631,646,470,902,2370,296,1086,1872,2026,741,1361,658,1737,163,986,1765,2005,872,893,194,614,3078,1411,953,1881,245,945,363,189,207,556,1303,2248,980,115,269,1709,10,1897,74,530,810,3399,515,2730,818
580,1165,35,238,196,174,524,972,155,351,58,709,641,503,222,537,88,363,2427,561,371,292,279,385,268,953,232,802,94,143,123,325,137,146,405,324,312,376,200,602,477,39,469,344,1058,1079,188,1286,98,91,372
590,42,42,13,73,19,84,54,31,41,24,73,102,90,9,81,53,27,39,168,42,32,21,107,47,46,230,105,103,22,103,15,247,235,107,69,234,75,34,35,15,36,40,52,15,47,13,195,60,51,192
600,19,130,138,250,107,98,140,338,75,115,80,1,50,413,346,12,116,442,451,206,282,121,105,45,107,95,446,25,141,85,158,225,147,169,158,31,212,186,171,109,59,16,312,48,37,49,341,212,197,28
610,25,366,339,74,57,207,128,59,359,101,1666,20,640,31,71,643,106,207,149,24,356,198,573,136,76,238,487,57,147,319,262,228,115,119,128,68,104,54,75,226,229,25,211,997,173,576,126,338,52,67
620,594,1337,362,784,393,805,186,270,370,604,361,2873,496,558,345,339,427,6221,1699,3267,837,387,75,1045,1135,100,621,2692,2066,26,258,2096,2977,1590,3966,179,1293,1632,505,326,135,284,140,812,2843,479,307,1416,670,375
630,332,257,319,93,39,47,175,117,326,8,230,49,139,54,38,296,374,104,37,220,97,73,182,23,157,36,167,45,351,382,117,249,122,17,58,12,157,58,265,559,325,56,345,438,474,33,42,58,489,226
640,1508,1676,2203,1916,1100,154,249,244,2254,219,1030,1410,235,399,219,2783,907,790,212,1192,2389,1616,2999,265,656,1484,607,1536,53,480,1784,314,262,1059,372,1582,780,794,664,517,89,1060,518,343,340,2718,821,185,1019,1157
650,501,30,676,275,277,1038,637,1439,816,536,807,1060,243,759,110,618,778,259,828,531,1385,807,148,568,223,429,64,28,361,423,213,222,515,1699,540,830,606,986,25,496,293,677,1930,917,683,584,312,1063,1719,1926
660,147,58,410,22,498,459,903,743,176,288,407,62,192,19,338,152,391,58,338,316,67,587,49,600,123,222,156,13,55,37,273,238,497,48,283,154,181,198,51,116,239,268,111,223,59,55,125,420,106,191
