gen,avg,var,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
0,0.22,0.21160000000000004,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
500,0.08,0.0736,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1000,1.88,5.6655999999999995,0,1,0,1,4,0,0,3,0,0,3,4,9,5,0,0,2,2,2,5,0,3,4,12,3,0,0,2,0,0,3,3,0,0,3,0,2,3,1,1,0,4,1,0,0,2,4,2,0,0
1500,1.1,7.290000000000001,0,0,1,0,0,0,1,0,0,0,0,1,14,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,11,0,2,0,0,0,0,0,0,0,0,1,2,1,3,0,3,0
2000,1.1,2.7300000000000004,0,5,0,0,0,0,2,3,0,0,0,0,0,3,0,0,1,0,0,3,0,2,0,0,3,0,0,5,5,2,0,0,0,2,0,1,0,0,1,2,1,6,0,0,4,0,0,1,0,3
2500,1.08,4.233600000000001,0,0,1,0,3,0,1,7,0,0,0,0,3,8,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,2,0,0,0,4,0,0,8,0,0,2,0,3,0,0,0,5,1
3000,3.0,21.84,7,7,2,1,9,2,0,0,1,17,1,1,0,0,7,1,1,3,0,0,0,24,0,11,2,5,0,0,6,3,0,0,2,0,0,6,0,1,2,9,4,0,7,6,0,0,0,0,0,2
3500,5.2,26.000000000000004,2,10,22,1,3,3,2,0,0,18,2,4,8,5,1,2,7,3,17,0,14,0,4,5,2,6,1,5,4,6,4,6,1,8,1,0,15,2,3,12,1,7,0,7,2,1,6,9,12,6
4000,3.14,10.760399999999999,0,5,10,3,2,4,4,6,1,2,4,1,6,0,0,5,2,1,5,1,7,1,0,3,2,6,7,0,1,5,7,5,1,3,0,0,2,4,5,0,1,0,0,2,4,3,3,2,2,19
4500,2.86,21.040399999999998,1,3,5,0,4,0,8,11,4,0,6,5,0,0,0,0,0,2,0,5,1,0,0,4,0,0,0,0,0,0,6,10,0,0,0,0,13,0,2,0,1,24,6,8,0,4,0,10,0,0
5000,0.7,2.4499999999999997,0,3,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8,0,0,2,0,0,0,1,1,0,0,0,2,0,5,0,0,0,0,3,0,0,3,0
5500,4.4,11.48,1,10,5,1,8,10,3,2,7,1,2,4,4,1,6,1,1,14,1,3,6,0,1,5,2,5,1,3,8,8,1,10,0,2,2,8,9,6,4,9,5,1,3,9,7,3,10,3,2,2
