gen,avg,var,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
12000,80.64,5287.950400000001,80,12,7,203,133,33,119,78,34,81,31,33,68,54,45,106,49,257,188,10,19,60,25,136,61,38,91,57,19,115,51,52,73,72,40,127,40,17,93,27,45,28,116,234,83,212,379,37,41,23
12500,397.86,156885.2804,161,109,637,185,216,770,267,313,122,489,179,1880,264,98,295,735,265,717,302,815,26,59,401,1166,245,186,466,42,263,833,107,905,688,117,48,11,181,52,41,79,68,1592,62,851,575,739,218,502,427,124
13000,279.28,41446.3216,374,169,141,737,286,12,388,17,797,283,414,404,243,188,170,73,384,283,628,420,150,523,217,102,80,49,668,95,146,87,295,76,421,77,100,162,442,483,233,372,803,177,51,146,281,267,240,175,82,553
13500,468.66,147801.90439999997,317,1607,438,1461,667,91,315,139,161,414,178,96,338,597,1038,517,893,61,761,558,1303,485,118,511,46,630,366,80,330,53,759,788,69,432,60,554,157,148,389,517,1248,460,288,145,330,360,113,1247,292,508
14000,24.84,929.0543999999999,17,133,7,50,7,6,48,13,1,0,7,5,31,5,57,19,2,14,64,12,126,67,14,22,15,9,0,23,5,27,30,9,6,4,50,105,12,17,0,5,18,3,5,30,7,2,25,45,4,59
14500,264.64,64440.6704,515,159,824,79,413,43,74,397,9,982,116,650,48,761,31,27,22,620,218,289,331,11,162,154,145,136,118,265,836,14,265,223,396,21,307,84,269,31,350,63,297,862,18,109,381,165,43,405,91,403
15000,449.66,158179.10439999998,1235,346,332,730,100,399,209,15,1806,1062,893,773,471,510,309,357,1625,524,312,267,367,295,874,111,105,663,15,103,212,13,194,22,325,536,166,291,75,1116,280,646,201,325,84,528,320,628,300,267,1022,124
15500,718.68,472480.1776000001,323,554,619,352,214,1425,2030,2083,341,2656,517,1174,273,951,625,732,326,118,980,701,88,25,70,403,2074,545,30,372,24,238,455,1071,157,2313,341,1103,143,543,335,383,629,273,129,64,2126,1751,422,358,1807,668
16000,42.76,1771.2224,0,71,15,54,71,29,12,10,131,19,33,83,41,19,18,4,21,53,8,65,68,0,4,6,0,17,130,49,154,38,62,94,9,11,69,15,120,13,54,3,67,140,3,4,8,17,129,36,6,55
16500,220.4,46385.24,75,32,594,24,65,164,79,220,16,127,240,685,151,178,7,674,205,228,20,383,440,194,0,96,42,278,191,60,247,247,8,157,20,444,66,388,97,554,1089,63,90,100,140,66,97,336,348,236,466,293
17000,620.62,433573.07560000004,187,482,997,601,908,490,1137,121,23,325,2098,404,518,350,429,559,938,24,1970,3144,38,125,157,119,143,329,93,250,576,644,140,1552,0,858,427,2247,14,387,68,261,709,13,1251,795,65,1075,67,745,1493,685
17500,883.44,664338.0064,1282,2074,1393,35,361,617,2042,644,2453,2147,34,337,425,1472,430,756,775,1391,248,1909,727,182,123,80,92,208,310,29,3726,969,116,861,342,647,116,107,201,1872,807,1058,1292,1873,934,220,818,205,75,2040,1154,2163
