gen,avg,var,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
24000,489.96,126657.9584,793,312,803,322,521,1049,582,46,283,292,65,1474,572,1106,260,151,737,1004,1237,235,317,560,266,827,738,838,364,1110,40,355,372,75,136,157,744,639,3,288,215,287,348,937,806,486,624,130,135,158,651,48
24500,333.2,64394.24,374,670,138,164,594,157,229,1007,123,380,476,65,120,73,387,10,385,111,759,728,176,708,700,385,187,235,295,481,184,299,215,171,112,966,3,144,92,684,273,85,344,154,280,298,582,203,61,114,499,780
25000,186.88,67463.14559999999,279,23,44,38,540,45,147,99,70,239,1518,33,80,357,77,6,2,60,132,59,129,90,87,29,438,21,438,176,913,176,439,238,67,107,52,15,264,48,453,114,66,88,112,177,105,61,484,28,57,24
25500,1865.1,3546741.13,17,2071,904,3777,1616,3574,2903,1623,416,1216,1085,4641,4434,33,720,3045,1001,347,6089,403,2460,284,544,717,281,6061,1784,6999,192,2989,41,2078,554,124,200,452,7959,1325,3218,1020,1730,1614,1170,1097,1782,214,423,1799,842,3387
26000,2314.94,5242447.5764,1628,248,946,8613,49,221,4711,668,196,1474,3138,5165,1531,4169,2436,265,1864,1553,4641,1642,660,553,1960,1962,1207,1661,1289,5912,2248,3317,6395,2688,839,490,1416,2678,1080,598,1233,4536,513,7671,2084,108,240,9750,1065,5167,1184,85
26500,1832.36,3253280.3903999995,2108,155,279,5231,776,3514,2472,417,2805,5138,5725,1009,603,8771,1176,126,547,330,1187,375,1872,864,308,3354,3346,3769,247,153,476,334,1486,1909,2386,322,1137,1148,2646,236,115,109,3522,540,1042,3334,612,3667,1552,2314,1813,4261
27000,1142.22,1267862.2915999999,182,1021,1223,1468,1357,519,984,615,4160,1243,201,127,140,1288,242,2695,2321,10,168,1287,342,494,164,1253,1037,2108,513,272,2312,257,210,1948,1025,633,1216,62,947,4839,2593,2756,853,4332,483,1622,556,281,456,1944,37,315
27500,1485.84,3152160.1744,1488,519,570,839,1435,482,1083,3251,958,703,11572,522,1960,138,2840,391,4149,1414,264,3789,252,31,264,52,815,1089,651,2478,3503,2506,507,1074,713,645,1268,1072,604,988,288,903,534,1934,891,916,2112,1362,3489,2206,2345,433
28000,497.2,175999.59999999998,59,202,129,138,144,316,202,303,329,103,1169,792,989,932,533,462,72,571,196,959,396,391,295,742,9,268,438,301,371,2137,337,118,471,868,948,1040,482,557,562,272,846,1409,266,449,68,149,500,1331,187,52
28500,436.38,180363.91560000004,600,233,100,1285,11,185,51,641,566,335,621,611,218,252,508,422,82,640,49,373,41,2164,263,343,323,298,1426,64,495,58,568,26,207,384,176,623,166,161,287,57,289,72,634,251,917,1242,607,1341,419,134
29000,3679.28,18854354.4016,9139,2010,3025,245,3676,1089,7252,2553,7975,330,2748,1450,7121,610,392,3395,2329,1520,1811,42,7526,15928,2813,1368,833,4489,23440,1454,1773,477,2682,6786,212,1081,695,5085,191,3166,1549,1273,1243,8916,3652,3840,1206,10771,441,8618,3101,643
29500,868.02,773510.9796000001,1248,196,525,227,1540,132,425,1108,217,422,1774,494,975,3231,276,129,671,2136,754,20,69,418,476,360,587,1112,618,95,594,180,553,826,401,743,1334,1939,4822,217,1160,2342,555,486,1216,241,344,642,1721,155,870,1825
